gts2020_id,ref,age_type,comment,MSWD,df,comment
P31,Baresel et al. (2017),206Pb/238U,wtd mean,0.66,8,
P30,Baresel et al. (2017),206Pb/238U,wtd mean,0.67,6,
P29,Baresel et al. (2017),206Pb/238U,wtd mean,1.04,7,
P28,Baresel et al. (2017),206Pb/238U,wtd mean,1.18,6,
P27,Shen et al. (2011),206Pb/238U,wtd mean,1.4,6,
P26,Shen et al. (2011),206Pb/238U,wtd mean,0.5,6,
P25,Shen et al. (2011),206Pb/238U,wtd mean,0.6,6,
P24,Mundil et al. (2004),206Pb/238U,wtd mean,1.1,7,
P23,Shen et al. (2011),206Pb/238U,wtd mean,0.3,5,
P22,Shen et al. (2011),206Pb/238U,wtd mean,1,5,
P21,Davydov et al. (2018a),206Pb/238U,wtd mean,2.78,1,
P20,Davydov et al. (2018a),206Pb/238U,wtd mean,0.07,3,
P19,Mundil et al. (2004),206Pb/238U,wtd mean,0.8,5,
P18,Mundil et al. (2004),206Pb/238U,wtd mean,0.3,4,
P17,Davydov et al. (2018b),206Pb/238U,wtd mean,0.12,4,
P16,Davydov et al. (2016),206Pb/238U,wtd mean,1.3,3,
P15,Nicklen (2011),206Pb/238U,wtd mean,2,3,
P14,Ramezani and Bowring (2017),206Pb/238U,,,,Paywall
P13,Nicklen (2011),206Pb/238U,wtd mean,1.5,7,
P12,Wu et al. (2017),206Pb/238U,wtd mean,2.2,7,
P11,Wu et al. (2017),206Pb/238U,wtd mean,1.9,6,
P10,Davydov et al. (2018a),206Pb/238U,wtd mean,0.63,4,
P9,Davydov et al. (2018a),206Pb/238U,wtd mean,0.71,2,
P8,Schmitz and Davydov (2012),206Pb/238U,wtd mean,1.9,7,
P7,Schmitz and Davydov (2012),206Pb/238U,wtd mean,0.9,7,
P6,Schmitz and Davydov (2012),206Pb/238U,wtd mean,0.8,6,
P5,Schmitz and Davydov (2012),206Pb/238U,wtd mean,1.5,7,
P4,Schmitz and Davydov (2012),206Pb/238U,wtd mean,1.2,7,
P3,Schmitz and Davydov (2012),206Pb/238U,wtd mean,2.5,8,
P2,Ramezani et al. (2007),206Pb/238U,wtd mean,0.79,8,
P1,Ramezani et al. (2007),206Pb/238U,wtd mean,1,18,
Cb47,Ramezani et al. (2007),206Pb/238U,wtd mean,2.9,13,
Cb46,Schmitz and Davydov (2012),206Pb/238U,wtd mean,1.2,6,
Cb45,Schmitz and Davydov (2012),206Pb/238U,wtd mean,1.5,4,
Cb44,Schmitz and Davydov (2012),206Pb/238U,wtd mean,0.4,4,
Cb43,Schmitz and Davydov (2012),206Pb/238U,wtd mean,0.9,3,
Cb42,Schmitz and Davydov (2012),206Pb/238U,wtd mean,2.5,4,
Cb41,Schmitz and Davydov (2012),206Pb/238U,wtd mean,1.7,5,First of two MSWDs
,,206Pb/238U,wtd mean,1.6,4,Second of two MSWDs
Cb40,Schmitz and Davydov (2012),206Pb/238U,wtd mean,2.7,3,First of two MSWDs
,,206Pb/238U,wtd mean,1.2,2,Second of two MSWDs
Cb39,Schmitz and Davydov (2012),206Pb/238U,wtd mean,1.2,5,First of two MSWDs
,,206Pb/238U,wtd mean,2.3,5,Second of two MSWDs
Cb38,Schmitz and Davydov (2012),206Pb/238U,wtd mean,0.8,3,
Cb37,Schmitz and Davydov (2012),206Pb/238U,wtd mean,0.5,2,
Cb36,Schmitz and Davydov (2012),206Pb/238U,wtd mean,1.8,7,
Cb35,Schmitz and Davydov (2012),206Pb/238U,wtd mean,2.1,6,
Cb34,Schmitz and Davydov (2012),206Pb/238U,wtd mean,1.5,3,
Cb33,Schmitz and Davydov (2012),206Pb/238U,wtd mean,2.6,5,
Cb32,Schmitz and Davydov (2012),206Pb/238U,wtd mean,0.9,7,
Cb31,Davydov et al. (2010),206Pb/238U,wtd mean,3.8,8,
Cb30,Davydov et al. (2010),206Pb/238U,wtd mean,2.2,9,
Cb29,Davydov et al. (2010),206Pb/238U,wtd mean,1.4,5,
Cb28,Davydov et al. (2010),206Pb/238U,wtd mean,1.7,4,
Cb27,Davydov et al. (2010),206Pb/238U,wtd mean,0.6,7,
Cb26,Pointon et al. (2012),206Pb/238U,wtd mean,2.2,5,
