name,U238/Pb206,s[U238/Pb206],Pb207/Pb206,s[Pb207/Pb206],rho
DLNR_084,5.206076405123452,0.05242077155673494,0.07747888788769904,0.0009962312363978201,0.33042088800702574
DLNR_085,5.018436538596732,0.08705114289909371,0.07899939926359803,0.0015989595622711347,0.6064668457051601
DLNR_086,4.743333955084743,0.05305552720056454,0.08083352761107493,0.0009447349295639516,0.05371661208568116
DLNR_087,5.665722026540813,0.08020056237982646,0.07521272481008784,0.0016851526900181057,0.07765900310480932
DLNR_088,8.168950460147103,0.08642793925730438,0.06468096409890883,0.0011648577046859698,0.2145975856593144
DLNR_089,4.961378616517632,0.04897911518159574,0.07949929880602435,0.0015006850236091215,0.1748549838205041
DLNR_090,2.434913680158995,0.03043397750608174,0.17131907914014732,0.0010054576745128138,0.22919424109633327
DLNR_091,5.59733375173397,0.06328266255260673,0.07252141379309152,0.0011927830224637264,0.3663564262015851
DLNR_092,4.890158024748786,0.0792605021101455,0.08063488439858763,0.0019830309606983206,0.37722402446164366
DLNR_093,10.05932548152804,0.11988495350833514,0.06130212333814894,0.001380111845768995,0.09245657714244898
DLNR_094,1.9069194671463845,0.02460716248220221,0.18610154848635058,0.0019594842084400045,0.33119744453445815
DLNR_095,5.159657998723304,0.08128537652425964,0.07784760225627246,0.003288499649637963,-0.038741844420744624
DLNR_096,5.005431269915941,0.06377609962028791,0.08004218517119567,0.002481991463404244,0.23772049592442487
DLNR_097,5.109519837866614,0.050365022253442054,0.07824846456354484,0.0009069460066669173,0.36440499154141504
DLNR_098,4.972129960229519,0.08133965693408142,0.07946553520654856,0.0018364529924443085,0.2744781079969273
DLNR_099,9.325570160324109,0.16009610854706824,0.06152420248343772,0.0017740560054650186,0.15403395260868996
DLNR_100,8.995373082703061,0.16729665591804202,0.06217736036924604,0.0022388202184807603,0.5364341397590244
DLNR_101,2.8094521589696306,0.035791658928640925,0.12051913037545842,0.0015038697997001133,0.37749865404708427
DLNR_102,1.933633249585115,0.025088112163644226,0.18369009163510125,0.001580168606817998,0.5051814248746613
DLNR_103,7.279280767734447,0.09589348315430332,0.06678320523403145,0.0017734811113431835,0.475131644797067
DLNR_104,5.007229085296901,0.07098862575271085,0.07908586832351468,0.0019335956617841342,0.08479918177750059
DLNR_105,5.057890794479676,0.09028993300302893,0.0800295057938109,0.0023456082363161592,0.11369690335879323
DLNR_106,10.818016184035454,0.15059334029107346,0.06562731399373439,0.001070378058897481,0.4080498492417002
DLNR_107,5.15727119843454,0.05953576886845577,0.07785807950114536,0.002155096415448585,0.2251674695670065
DLNR_108,10.771166732884543,0.16755340892900616,0.059170941541932705,0.001031653283427269,0.12937967755555962
DLNR_109,5.042910402800668,0.06501218589549053,0.07902472396460367,0.0015995460889015932,0.45525693860148264
DLNR_110,5.3578229136961895,0.09883278219132728,0.07920970831045561,0.0034290758270918093,0.5518132906450578
DLNR_111,3.350904166422432,0.037381705885547165,0.102999682364625,0.0009112541104844652,0.1952537543060537
DLNR_112,4.2807452835467,0.05739573228289192,0.08566790508338737,0.0013682069194927457,0.3208937910776122
DLNR_113,4.969805297852606,0.06821209703005238,0.0782306090215733,0.0013341634073368608,0.3350439456953006
DLNR_114,5.024890994776237,0.06518166997174688,0.07746977907905331,0.001753634903583789,0.05354024562979277
DLNR_115,11.623675715859816,0.17577261671584915,0.05807979070938131,0.0020885640634470295,0.18456808196539215
DLNR_116,5.130465290179131,0.06961066921998843,0.07684248936728864,0.0010126440062947259,0.1932029461705795
DLNR_117,8.607532341359914,0.14451366242224004,0.059380938644944536,0.0028131130112772564,0.45677259394679165
DLNR_118,7.7797301606570155,0.09430410714674056,0.07252936005404645,0.0009275841412560234,0.07246800513281036
DLNR_119,5.606250093020995,0.0565786846816222,0.07600599526324076,0.0016080106894788128,0.35378708577607204
DLNR_120,2.1327335918560113,0.029707134418791588,0.15673880808001017,0.0011369091385931567,0.5072690417070861
DLNR_121,8.377518086656924,0.11555651806732048,0.06406222141263232,0.0013782915234048375,0.2060018523786547
DLNR_122,4.028151941523577,0.05644667582151954,0.08912312077370939,0.001086522550694204,0.4392072937682606
DLNR_123,5.008368701920682,0.060720984276192776,0.07871901352663685,0.0009183320466612784,0.4514828755984041
DLNR_124,4.441380321777887,0.05762840587483008,0.08475420054947162,0.0013343855708198927,0.32034758367078114
DLNR_125,3.7868816367453837,0.05071824218927148,0.09412703811122362,0.0015267102845318284,0.47977418220440915
